bărbat;man
turistul;tourist  
ghizi;guides  
bilete;tickets  
rezervările;reservations  
pasagerei;passengers 
birou de informații;information desk  
valiză;suitcase  
geamantanul;the trunk  
bagaj;luggage  
mașină;car  
bicicletă;bicycle  
motocicletă;motorcycle  
autobuzul;the bus  
tren;train  
autocar;coach  
barcă;boat  
vapor;ship  
avion;airplane  
a rezerva;to reserve  
a întârzia;to delay  
a călători;to travel  
a pleca;to leave  
întârziere;delay  
anularea;cancellation  
sosirile;arrivals  
plecarea;departure  
a urca;to climb/board  
orarului;schedule  
dus-întors;round-trip  
peronul;the platform  
gară;station  
stație;stop  
oprire;stop (noun)  
vagoanele;the wagons  
a pierde;to lose/miss  
a opri;to stop  
aeroportul;the airport  
companie aeriană;airline  
zbor;flight  
îmbarcările;boardings  
aterizare;landing  
decolarea;takeoff  
poarta;the gate  
turbulență;turbulence  
zburați;you fly  
port;port  
croazieră;cruise  
mare;sea  
ocean;ocean  
traversarea;crossing  
punte;deck  
vestă de salvare;life jacket  
echipajul;the crew  
a naviga;to sail/navigate  
cer;sky  
stea;star  
planetă;planet  
soarele;the sun  
luna;the moon  
cometă;comet  
meteorit;meteorite  
univers;universe  
pământ;earth  
nori;clouds  
vânt;wind  
briză;breeze  
climă;climate  
furtună;storm  
curcubeu;rainbow  
tunet;thunder  
fulger;lightning  
încălzire globală;global warming  
senin;clear (sky)  
ceață;fog  
grindină;hail  
ploaie;rain  
zăpadă;snow  
inundație;flood  
secetă;drought  
îngheț;frost  
înnorat;cloudy  
prognoza meteo;weather forecast  
fulg de nea;snowflake  
strop de ploaie;raindrop  
a se topi;to melt  
a ninge;to snow  
plouă;it rains  
a ieși soarele;to come out (the sun)  
aerul;the air  
foc;fire  
natură;nature  
peisaj;landscape  
munte;mountain  
pădure;forest  
piatră;stone  
sol;soil  
râu;river  
fluviu;large river  
deal;hill  
faună;fauna  
vegetația;vegetation  
resurse naturale;natural resources  
lemn;wood  
nisip;sand  
cărbune;coal  
minereu;ore  
gaz natural;natural gas  
extrage;to extract  
câmpie;plain  
cereală;grain  
grâu;wheat  
porumb;corn  
iarba;grass  
flori;flowers  
cultivă;to cultivate  
a crește;to grow  
copac;tree  
buruiană;weed  
rădăcină;root  
frunză;leaf  
polen;pollen  
petală;petal  
conifer;conifer  
vulcan;volcano  
a erupe;to erupt  
trandafir;rose  
ghiocel;snowdrop  
floarea-soarelui;sunflower  
lalele;tulips  
nuferii;water lilies  
macului;poppy  
orhidee;orchid  
creangă;branch  
brad;fir tree  
arțar;maple  
stejar;oak  
salcie;willow  
cireș;cherry tree  
măslini;olive tree  
păr;pear tree  
prun;plum tree  
trunchi;trunk  
cercetare;research  
detaliu;detail  
tehnologie;technology  
proiect;project  
știință;science  
articolul;the article  
analiză;analysis  
metodă;method  
mostră;sample  
teorie;theory  
practică;practice  
definiție;definition  
limite;limits  
concept;concept  
descoperire;discovery  
formulă;formula  
ipoteză;hypothesis  
concluziile;the conclusions  
fizică;physics  
chimia;chemistry  
biologie;biology  
geografia;geography  
astronomie;astronomy  
inginerie;engineering  
geologie;geology  
matematică;mathematics  
calitate;quality  
substanță;substance  
hidrogen;hydrogen  
oxigen;oxygen  
efectul;the effect  
rezultat;result  
experiment;experiment  
invenție;invention  
grădiniță;kindergarten  
școala primară;primary school  
școala generală;middle school  
facultate;faculty/college  
universitate;university  
sistem de învățământ;education system  
educație;education  
învățământ superior;higher education  
liceu;high school  
materie;subject  
curs;course  
lecție;lesson  
temă;homework  
notă;grade  
test;test  
examen;exam  
trimestru;term  
semestrul;semester  
sală de clasă;classroom  
pupitru;desk  
tablă neagră;blackboard  
cretă;chalk  
sală de sport;gym  
laborator;laboratory  
pauză;break  
diplomă;diploma  
absolvent;graduate  
masterat;master's degree  
dizertația;thesis  
tezele;the theses  
lectură;reading  
dezbatere;debate  
eseu;essay  
campus universitar;university campus  
certificat;certificate  
studios;studious  
tocilar;nerd  
șoarece de bibliotecă;bookworm  
a preda;to teach  
a studia;to study  
a revizui;to review  
a pica un examen;to fail an exam  
a trece un examen;to pass an exam  
dans;dance  
literatură;literature  
pictură;painting  
sculptura;sculpture  
arhitectură;architecture  
poezie;poetry  
muzică;music  
cinematografia;cinematography  
artă;art  
imaginea;image  
operă de artă;work of art  
pictez;I paint  
portretul;the portrait  
acuarelă;watercolor  
stil;style  
rimă;rhyme  
ritm;rhythm  
vers;verse  
concert;concert  
audiență;audience  
sunetele;sounds  
armonie;harmony  
orchestră;orchestra  
trupe;bands  
scenă;stage  
melodie;melody
voce;voice  
pian;piano  
chitarele;guitars  
vioară;violin  
violoncel;cello  
trompetă;trumpet  
flaut;flute  
cimpoi;bagpipes  
tobe;drums  
muzicuță;harmonica  
liber;free  
a plăcea;to like  
pasiune;passion  
favorit;favorite  
plăcere;pleasure  
alergarea;running  
gătit;cooking  
hobby;hobby  
grădinărit;gardening  
plăcută;pleasant  
activitate;activity  
cumpărătură;shopping  
scris;writing  
pescuitul;fishing  
joc;game  
dependență;addiction  
a prefera;to prefer  
mers;walking  
desenul;drawing  
astrologie;astrology  
colecționat;collecting  
film;film/movie  
șahul;chess  
cititul;reading  
navigat;browsing/sailing  
fotografia;photography  
jucător;player  
fotbal;soccer/football  
minge;ball  
sport;sport  
gol;goal  
ligă;league  
stadion;stadium  
joc;game  
arbitru;referee  
repriză;half/period  
meci;match  
antrenorul;coach  
spectator;spectator  
portar;goalkeeper  
pasă;pass  
scorul;score  
a lovi;to hit  
handbal;handball  
olimpiadă;Olympics  
turneu;tournament  
baschet;basketball  
campionat;championship  
sală;hall  
oină;oină (traditional Romanian sport)  
a prinde;to catch  
amator;amateur  
joc;game  
campionul;champion  
tenis;tennis  
înot;swimming  
individual;individual  
rachetă;racket  
vestiar;locker room  
puncte;points  
a câștiga;to win  
economia;economy  
a plăti;to pay  
bani;money  
moneda;currency  
lei;lei (Romanian currency)  
dolar;dollar  
venitul;income  
companie;company  
credit;credit  
comerțul;trade  
competiție;competition  
client;client/customer  
manager;manager  
ofertă;offer  
produs;product  
prețul;price  
decizi;decision  
afacerea;business  
contabilitate;accounting  
impozit;tax  
calculat;calculated  
buget;budget  
costul;cost  
datorie;debt  
dobândă;interest  
împrumut;loan  
profit;profit  
acțiune;share  
piață;market  
capital;capital  
bursă;stock exchange  
inflație;inflation  
recesiune;recession  
faliment;bankruptcy  
risc;risk  
a investi;to invest  
medicină;medicine  
boală;disease  
bacterii;bacteria  
virus;virus  
sănătate;health  
durere;pain  
malarie;malaria  
infecție;infection  
pacient;patient  
afecțiune;condition  
accidentului;the accident  
ajutor;help  
ambulanță;ambulance  
bolnav;sick  
obezitate;obesity  
tratament;treatment  
diagnostic;diagnosis  
asistentă;nurse  
diabetul;diabetes  
depresie;depression  
programare;appointment  
alergie;allergy  
medicament;medicine/drug  
sănătos;healthy  
stetoscop;stethoscope  
tuberculoză;tuberculosis  
urgență;emergency  
îngrijire;care  
operație;surgery  
răceală;cold  
radiografie;x-ray  
sânge;blood  
spital;hospital  
cancer;cancer  
carii;cavities  
medicală;medical  
crăciunul;Christmas  
ajunul crăciunului;Christmas Eve  
1 mai;May 1st  
anul nou;New Year  
revelionul;New Year's Eve  
vinerea mare;Good Friday  
moș crăciun;Santa Claus  
paște;Easter  
ziua îndrăgostiților;Valentine's Day  
ziua recunoștinței;Thanksgiving  
tradiție;tradition  
a celebra;to celebrate  
a sărbători;to celebrate  
ceremonia;ceremony  
aniversarea;anniversary  
aniversăm;we celebrate  
sfânta maria;Saint Mary  
ziua națională;National Day  
ziua unirii;Union Day  
ziua femeii;Women's Day  
zi de naștere;birthday  
sfântul ion;Saint John  
sărbătoare națională;national holiday  
crăciun fericit;Merry Christmas  
felicitări;congratulations  
la mulți ani;Happy Birthday/Best Wishes  
an nou fericit;Happy New Year  
paște fericit;Happy Easter  
a ura;to wish  
sărbători fericite;Happy Holidays  
religie;religion  
religios;religious  
secular;secular  
rugăciune;prayer  
dumnezeu;God  
zeu;deity/god  
spirit;spirit  
sfântă;saint/holy  
credință;faith  
monoteistă;monotheistic  
creștinism;Christianity  
musulman;Muslim  
iudaism;Judaism  
politeism;polytheism  
budist;Buddhist  
hinduist;Hindu  
păgânism;paganism  
ateism;atheism  
catedrală;cathedral  
moschee;mosque  
sinagogă;synagogue  
templu;temple  
papă;Pope  
pastor;pastor  
rabinul;rabin  
călugăr;monk  
a predica;to preach  
post;fasting  
botezul;baptism  
icoană;icon  
moaștele;relics  
păcat;sin  
biblie;Bible  
coran;Quran  
cruce;cross  
a se ruga;to pray  
